Length,Width,Aspect Ratio,Capacitance,Area
4.0,4.0,1.0,37.34329870851851,16.0
4.5,4.0,1.125,40.38814895167639,18.0
5.0,4.0,1.25,52.91333743886145,20.0
5.5,4.0,1.375,59.851063215404345,22.0
6.0,4.0,1.5,52.54075570286966,24.0
6.5,4.0,1.625,68.90972104194225,26.0
7.0,4.0,1.75,74.87121705833162,28.0
7.5,4.0,1.875,69.64808908682396,30.0
8.0,4.0,2.0,63.906516263073996,32.0
8.5,4.0,2.125,83.18219342659151,34.0
9.0,4.0,2.25,85.25622247897323,36.0
9.5,4.0,2.375,103.76941056808928,38.0
10.0,4.0,2.5,101.16582562959812,40.0
12.0,4.0,3.0,105.00127201985661,48.0
14.0,4.0,3.5,163.80162450379248,56.0
16.0,4.0,4.0,132.8822337084748,64.0
18.0,4.0,4.5,191.234232003147,72.0
20.0,4.0,5.0,219.2370068256558,80.0
25.0,4.0,6.25,234.07213959788746,100.0
30.0,4.0,7.5,162.01787494468132,120.0
35.0,4.0,8.75,190.7396207403184,140.0
40.0,4.0,10.0,235.430561687784,160.0
45.0,4.0,11.25,441.96216932234756,180.0
50.0,4.0,12.5,268.38738279799196,200.0
55.0,4.0,13.75,538.9792142047213,220.0
100.0,4.0,25.0,789.2990464886803,400.0
60.0,4.0,15.0,452.8154266071981,240.0
5.0,5.0,1.0,39.14234469984741,25.0
5.5,5.0,1.1,40.65646786849329,27.5
6.0,5.0,1.2,45.21198092727461,30.0
6.5,5.0,1.3,85.2829816843527,32.5
7.0,5.0,1.4,55.46812371040201,35.0
7.5,5.0,1.5,93.6642626472378,37.5
8.0,5.0,1.6,99.21864558055512,40.0
8.5,5.0,1.7,92.29802687261679,42.5
9.0,5.0,1.8,131.1589395929795,45.0
9.5,5.0,1.9,90.82767224473852,47.5
10.0,5.0,2.0,66.78522753811413,50.0
12.0,5.0,2.4,126.68232043312378,60.0
14.0,5.0,2.8,112.78869198493273,70.0
16.0,5.0,3.2,118.12208561136107,80.0
18.0,5.0,3.6,264.4937333868954,90.0
20.0,5.0,4.0,186.75022181333946,100.0
25.0,5.0,5.0,310.08142218865953,125.0
30.0,5.0,6.0,241.93530188360612,150.0
35.0,5.0,7.0,224.22882630213633,175.0
40.0,5.0,8.0,578.4572644623418,200.0
45.0,5.0,9.0,555.6030613728558,225.0
50.0,5.0,10.0,610.3081023781876,250.0
55.0,5.0,11.0,722.3497634887466,275.0
60.0,5.0,12.0,537.0112964848503,300.0
100.0,5.0,20.0,991.8664249434883,500.0
5.5,5.5,1.0,58.55376897413616,30.25
6.0,6.0,1.0,100.06308653833128,36.0
6.5,6.5,1.0,76.71209300087864,42.25
7.0,7.0,1.0,90.65567343568483,49.0
7.5,7.5,1.0,142.71695570238433,56.25
8.0,8.0,1.0,146.94165300052353,64.0
8.5,8.5,1.0,155.4936843226119,72.25
9.0,9.0,1.0,121.0691674672602,81.0
9.5,9.5,1.0,171.12783108326988,90.25
10.0,10.0,1.0,275.4855353866667,100.0
12.0,12.0,1.0,202.45358348107118,144.0
14.0,14.0,1.0,506.1512682602846,196.0
16.0,16.0,1.0,601.9086553169,256.0
18.0,18.0,1.0,460.19943800512317,324.0
20.0,20.0,1.0,1019.2424892893671,400.0
21.0,21.0,1.0,904.3762925638091,441.0
23.0,23.0,1.0,1003.1805984337713,529.0
25.0,25.0,1.0,1402.3629850151,625.0
27.0,27.0,1.0,1245.8363449763303,729.0
29.0,29.0,1.0,1133.4535622884641,841.0
30.0,30.0,1.0,1443.0719275702443,900.0
100.0,5.0,20.0,779.0036945599772,500.0
100.0,10.0,10.0,1916.4010147580066,1000.0
100.0,15.0,6.666666667,3099.4194851328443,1500.0
100.0,20.0,5.0,3243.0503281690585,2000.0
100.0,25.0,4.0,6254.92535889182,2500.0
100.0,30.0,3.333333333,5422.788840899399,3000.0
100.0,35.0,2.857142857,7739.044810099676,3500.0
100.0,40.0,2.5,9360.326124559455,4000.0
100.0,45.0,2.222222222,11106.554447185856,4500.0
100.0,50.0,2.0,7366.797450018654,5000.0
100.0,55.0,1.818181818,9435.130592735852,5500.0
100.0,65.0,1.538461538,16580.668494225785,6500.0
100.0,75.0,1.333333333,17663.776937623912,7500.0
100.0,85.0,1.176470588,17417.857312840817,8500.0
100.0,95.0,1.052631579,25531.27426542205,9500.0
