Length,Width,Capacitance
2.0,2,9.677210568323465
2.1,2,9.81993304176877
2.2,2,10.191442195209454
2.4,2,11.31497834714547
2.5,2,11.527309864217408
2.7,2,12.654882042754098
2.9,2,13.372135621776962
3.0,2,13.847600077356972
3.5,2,16.035234260677136
4.0,2,18.08274378283232
4.5,2,20.501577032489383
5.0,2,22.614068539304036
6.0,2,27.002395741025282
8.0,2,35.91134491095116
10.0,2,44.59247549733592
3.0,3,20.40998219726109
4.0,3,26.743493539487307
5.0,3,33.08532240613243
6.0,3,39.354494447226955
7.0,3,45.71782040445803
8.0,3,52.236839388995854
9.0,3,58.68178075361937
10.0,3,65.18115660000564
5.0,5,54.01665928593751
10.0,5,106.11884988385687
15.0,5,158.3963849760069
20.0,5,210.50315677134242
25.0,5,262.56330893157974
6.0,6,76.82284206647206
10.0,6,126.62160375375996
15.0,6,188.76611073884257
18.0,6,226.2084188191223
