Option,Rin,Size,NF,Gain,S11,BW,Input_TLine_Imp,Input_TLine_Len,Input_L,Input_L_Q,Input_L_SRF,Input_L_Geom,Output_L,Output_L_Q,Output_L_SRF,Output_L_Geom,Degen_L,Degen_L_Q,Degen_L_SRF,Degen_L_Geom,DC_Power,CPWD_Length,CPWD_Width,CPWD_Gap,CLoad,Inter_ind_L,Inter_ind_Q,Inter_ind_SRF,Inter_cap,_PWR_mW,_BW_GHz,Score
A,50,35*1um/60nm,2.132021663278683,15.48828204438377,-11.705639265804855,2103872715.4721887,18.0,0.0,729.5012988070498,14.721716509293572,54.782408576478495,[20.   3.5  2.   3. ],292.7069260772937,12.864193337108013,57.762590389223185,[72.5    8.5    2.125  1.   ],79.7626931288624,15.0,0.0,"[0, 0, 0, 0]",5.6000000000000005mW,59.03,9.48,3.943,91.10789821599178,0,0,0,0,5.6000000000000005,2.1038727154721886,1999999996.405683
B,51,35*1um/60nm,2.1213243501833277,15.402280326764595,-11.999864211183722,2103872715.4721887,18.0,0.0,729.5012988070498,14.721716509293572,54.782408576478495,[20.   3.5  2.   3. ],292.7069260772937,12.864193337108013,57.762590389223185,[72.5    8.5    2.125  1.   ],81.71849424508288,15.0,0.0,"[0, 0, 0, 0]",5.6000000000000005mW,59.03,9.48,3.943,91.10789821599178,0,0,0,0,5.6000000000000005,2.1038727154721886,1999999996.5417273
C,52,35*1um/60nm,2.2304915432084407,15.317948651395968,-11.733990568226556,2103872715.4721887,18.0,0.0,727.5881479746333,12.954406780576182,53.125605420964185,[20.    4.5   3.25  3.  ],292.7069260772937,12.864193337108013,57.762590389223185,[72.5    8.5    2.125  1.   ],83.67652580591464,15.0,0.0,"[0, 0, 0, 0]",5.6000000000000005mW,59.03,9.48,3.943,91.10789821599178,0,0,0,0,5.6000000000000005,2.1038727154721886,1999999997.0882385
D,53,35*1um/60nm,2.0603522412255444,15.235223391736067,-13.50040829482699,2103872715.4721887,18.0,0.0,723.0510551459812,16.127754184513464,57.436882046424444,[17.5   3.5   3.25  3.  ],292.7069260772937,12.864193337108013,57.762590389223185,[72.5    8.5    2.125  1.   ],85.63684625114237,15.0,0.0,"[0, 0, 0, 0]",5.6000000000000005mW,59.03,9.48,3.943,91.10789821599178,0,0,0,0,5.6000000000000005,2.1038727154721886,1999999996.844284
E,54,35*1um/60nm,2.0526427443636144,15.154044489514273,-13.845417541009496,2103872715.4721887,18.0,0.0,723.0510551459812,16.127754184513464,57.436882046424444,[17.5   3.5   3.25  3.  ],292.7069260772937,12.864193337108013,57.762590389223185,[72.5    8.5    2.125  1.   ],87.59951445602464,15.0,0.0,"[0, 0, 0, 0]",5.6000000000000005mW,59.03,9.48,3.943,91.10789821599178,0,0,0,0,5.6000000000000005,2.1038727154721886,1999999996.9996188
F,55,35*1um/60nm,2.0456005464246987,15.07435519280152,-14.196227772131698,2103872715.4721887,18.0,0.0,723.0510551459812,16.127754184513464,57.436882046424444,[17.5   3.5   3.25  3.  ],292.7069260772937,12.864193337108013,57.762590389223185,[72.5    8.5    2.125  1.   ],89.56458974438007,15.0,0.0,"[0, 0, 0, 0]",5.6000000000000005mW,59.03,9.48,3.943,91.10789821599178,0,0,0,0,5.6000000000000005,2.1038727154721886,1999999997.157391
G,56,35*1um/60nm,2.1228850038631832,14.996101817681954,-11.637502126117687,2103872715.4721887,18.0,0.0,720.5083999744813,14.026081845425333,50.126372738325614,[37.5  5.   4.   2. ],292.7069260772937,12.864193337108013,57.762590389223185,[72.5    8.5    2.125  1.   ],91.53213190190843,15.0,0.0,"[0, 0, 0, 0]",5.6000000000000005mW,59.03,9.48,3.943,91.10789821599178,0,0,0,0,5.6000000000000005,2.1038727154721886,1999999997.003983
H,57,35*1um/60nm,2.236085769661398,14.919233531019042,-11.566850481317708,2103872715.4721887,18.0,0.0,715.8833509305323,12.440638655748533,49.414384419058436,[37.5    3.5    2.625  2.   ],292.7069260772937,12.864193337108013,57.762590389223185,[72.5    8.5    2.125  1.   ],93.50220118975446,15.0,0.0,"[0, 0, 0, 0]",5.6000000000000005mW,59.03,9.48,3.943,91.10789821599178,0,0,0,0,5.6000000000000005,2.1038727154721886,1999999997.605458
I,58,35*1um/60nm,2.0895806758624897,14.843702152114584,-10.935911982016435,2103872715.4721887,18.0,0.0,714.8390870866818,15.345920139340809,47.460100916361235,[17.5    4.5    3.375  3.   ],292.7069260772937,12.864193337108013,57.762590389223185,[72.5    8.5    2.125  1.   ],95.4748583583241,15.0,0.0,"[0, 0, 0, 0]",5.6000000000000005mW,59.03,9.48,3.943,91.10789821599178,0,0,0,0,5.6000000000000005,2.1038727154721886,1999999996.8881676
J,59,35*1um/60nm,2.0215890635397367,14.769461971322517,-12.847702065294106,2103872715.4721887,18.0,0.0,711.6406994049429,14.7213976456368,51.25084087478805,[17.5   4.    2.25  3.  ],292.7069260772937,12.864193337108013,57.762590389223185,[72.5    8.5    2.125  1.   ],97.45016466136082,15.0,0.0,"[0, 0, 0, 0]",5.6000000000000005mW,59.03,9.48,3.943,91.10789821599178,0,0,0,0,5.6000000000000005,2.1038727154721886,1999999997.1330202
